Company,Title,RoleFamily,FocusArea,Location,WorkMode,Responsibilities,Requirements,KeySkills,SourceUrl
Dana-Farber Cancer Institute,Computational Biologist,Computational Biologist,"Aging, single-cell, and target discovery","Boston, MA",On-site,Share on Facebook; Share on Twitter; Share on LinkedIn,Share via Email; Data Processing: Uses existing tools to build data processing pipelines to convert raw data into formats compatible with conventional statistical analysis and visualization; Data Analysis: Performs routine analysis for which established tools exist and are considered reliable. Keep up with the computational biology literature to assure pipelines components are up to date,Python; NGS / genomics; Pipelines / workflow orchestration; Statistics / modeling; Linux / Unix; Software engineering / reproducibility; Cross-functional collaboration; Scientific writing / communication; Cancer / liquid biopsy / biomarkers; Experimental design / assay partnership; Machine learning / AI; Data visualization / reporting; Clinical / translational applications; Multi-omics integration; Containers / CI-CD / production; Customer-facing / platform migration,https://careers.dana-farber.org/job/538/computational-biologist-it-informatics-us-ma-boston-450-brookline-ave/
GATC Health,Bioinformatics Analyst,Bioinformatics Analyst,"Aging, single-cell, and target discovery","Irvine, CA",Remote,Prep and Process data through GATC platform based on customer or internal end user requirements.; Implement primary and secondary analysis tools for GATC’s assays.; Work with cross-disciplinary R&D teams to develop and implement new discovery and risk assessment product applications.,"Degree in computational biology, bioinformatics, computer science or similar.; Experience analyzing complex multi-omic datasets, including human or single cell data.; Experience implementing, and evaluating novel bioinformatics algorithms and pipelines.",Python; NGS / genomics; Pipelines / workflow orchestration; Single-cell / multi-omics; Cross-functional collaboration; Scientific writing / communication; Experimental design / assay partnership; Cloud / scalable compute; Machine learning / AI; Data visualization / reporting; Multi-omics integration; Customer-facing / platform migration,https://jobs.lever.co/gatchealth/e418c8d5-2eae-4a08-bef3-830f495b0bc8
GATC Health,Bioinformatics Analyst,Bioinformatics Analyst,"Aging, single-cell, and target discovery","Morgantown, WV",Remote,Prep and Process data through GATC platform based on customer or internal end user requirements.; Implement primary and secondary analysis tools for GATC’s assays.; Work with cross-disciplinary R&D teams to develop and implement new discovery and risk assessment product applications.,"Degree in computational biology, bioinformatics, computer science or similar.; Experience analyzing complex multi-omic datasets, including human or single cell data.; Experience implementing, and evaluating novel bioinformatics algorithms and pipelines.",Python; NGS / genomics; Pipelines / workflow orchestration; Single-cell / multi-omics; Cross-functional collaboration; Scientific writing / communication; Experimental design / assay partnership; Cloud / scalable compute; Machine learning / AI; Data visualization / reporting; Multi-omics integration; Customer-facing / platform migration,https://jobs.lever.co/gatchealth/ea7aed95-4be3-4649-b817-01e7c9a3a320
Natera,Lead Bioinformatics Scientist (Oncology Product Development),Bioinformatics Scientist,Oncology assay and algorithm development,US Remote,Remote,,,Cancer / liquid biopsy / biomarkers,https://job-boards.greenhouse.io/natera/jobs/5805823004
Natera,Lead Machine Learning and Bioinformatics Scientist,Bioinformatics Scientist,General bioinformatics and computational biology,"San Carlos, CA",Hybrid,,,Machine learning / AI,https://job-boards.greenhouse.io/natera/jobs/5779892004
Neptune Bio,Computational Biologist,Computational Biologist,General bioinformatics and computational biology,New York,On-site,,,,https://job-boards.greenhouse.io/neptunebio/jobs/4969002007
NewLimit,Computational Biologist,Computational Biologist,General bioinformatics and computational biology,"South San Francisco, CA",On-site,,,,https://job-boards.greenhouse.io/newlimit/jobs/5819398004
Personalis,Sr. Bioinformatics Scientist – cfDNA Technology Development,Bioinformatics Scientist,cfDNA assay R&D and product translation,"Fremont, CA",Hybrid,,,NGS / genomics; Cancer / liquid biopsy / biomarkers,https://job-boards.greenhouse.io/personalisinc/jobs/7595015003
Personalis,Sr. Bioinformatics Scientist – Novel Cell Free DNA Applications,Bioinformatics Scientist,New cfDNA product opportunities,"Fremont, CA",Hybrid,,,,https://job-boards.greenhouse.io/personalisinc/jobs/7617458003
Profluent,"Lead Bioinformatics Scientist, NGS",Bioinformatics Scientist,General bioinformatics and computational biology,"Emeryville, California, United States; Hybrid (2-3 days on-site)",Hybrid,,,NGS / genomics,https://job-boards.greenhouse.io/profluent/jobs/4983485008
Recursion,"Associate Principal Computational Biologist, Neuroscience",Computational Biologist,General bioinformatics and computational biology,"New York, New York; Salt Lake City, Utah",Hybrid,,,,https://job-boards.greenhouse.io/recursionpharmaceuticals/jobs/7583094
Recursion,Senior Computational Biologist – Target ID,Computational Biologist,General bioinformatics and computational biology,"New York, New York; Salt Lake City, Utah",Hybrid,,,,https://job-boards.greenhouse.io/recursionpharmaceuticals/jobs/7739306
